,type,title,director,cast,country,release year,platform,animation,children & family,entertainment,documentary,thrillers,music & musicals,romance,comedy,drama,horror,sci-fi & fantasy,action & adventure
3229,Movie,Super Monsters Save Christmas,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr, Gigi Saul Guerrero, Brian Drummond",United States,2019,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
3230,TV Show,The Crime,not found,"Magdalena Boczarska, Wojciech Zieliński, Joanna Kulig, Radosław Pazura, Magdalena Zawadzka, Dorota Kolak, Zdzislaw Wardejn, Małgorzata Rożniatowska, Aleksandra Popławska, Lukasz Nowicki, Tamara Arciuch, Rafał Cieszyński, Karolina Kominek",Poland,2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3231,Movie,True: Winter Wishes,not found,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",not found,2019,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
3232,TV Show,Zona Rosa,not found,"Manu NNa, Ana Julia Yeyé, Ray Contreras, Pablo Morán",Mexico,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3233,Movie,Pranaam,Sanjiv Jaiswal,"Rajeev Khandelwal, Samiksha Singh, S.M. Zaheer, Vikram Gokhale, Meenakshi Sethi, Atul Kulkarni, Abhimanyu Singh, Aniruddha Dave",India,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
3234,Movie,What the F* Is Going On?,"Marta Jaenes, Rosa Márquez",not found,Spain,2019,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
3235,Movie,Shot Caller,Ric Roman Waugh,"Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell, Jon Bernthal, Emory Cohen, Jeffrey Donovan, Evan Jones, Benjamin Bratt, Holt McCallany",United States,2017,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3236,TV Show,Once Upon A Time In Lingjian Mountain,not found,"Xu Kai, Sandrine Pinna, Ryan Zhu, Gao Yuer, Cristy Guo, He Wenjun, Zheng Yawen, Li Junhao, Roger Kwok, James Wen",China,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3237,Movie,Brother,Julien Abraham,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",France,2019,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3238,TV Show,Dolly Parton's Heartstrings,not found,"Dolly Parton, Julianne Hough, Kimberly Williams-Paisley, Dallas Roberts, Melissa Leo, Andy Mientus, Katie Stevens, Michael J. Willett, Aidan Langford, Ray McKinnon, Delta Burke, Gerald McRaney, Ben Lawson, Brooke Elliott, Michele Weaver, Tim Reid, Sarah Shahi, Rochelle Aytes, Jessica Collins, Tammy Lynn Michaels, Robert Taylor, Holly Taylor, Shane Paul McGhie, Mary Lane Haskell, Camryn Manheim, Bellamy Young, Patricia Wettig, Timothy Busfield, Tom Brittney, Virginia Gardner, Colin O'Donoghue, Willa Fitzgerald, David Denman, Vanessa Rubio, Mac Davis, Kathleen Turner, Ginnifer Goodwin, Kyle Bornheimer, Tyler Crumley, Mary Donnelly Haskell, Ed Amatrudo",United States,2019,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3239,Movie,Girls und Panzer der Film,Tsutomu Mizushima,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami, Yuka Iguchi, Misato Fukuen, Mikako Takahashi, Kana Ueda, Mika Kikuchi, Maya Yoshioka",Japan,2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
3241,TV Show,Nailed It! Holiday!,not found,"Nicole Byer, Jacques Torres",United States,2019,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
3242,TV Show,Narcoworld: Dope Stories,not found,not found,United States,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3243,TV Show,Nobody's Looking,not found,"Victor Lamoglia, Júlia Rabello, Kéfera Buchmann, Augusto Madeira, Danilo de Moura, Leandro Ramos, Telma Souza, Priscila Sol, Wallie Ruy, Maurício de Barros, Hermínio Ribeiro",Brazil,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3244,Movie,Shelby American,"Nate Adams, Adam Carolla",Carroll Shelby,United States,2019,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
3245,TV Show,Singapore Social,not found,"Nicole Ong, Mae Tan, Sukki Singapora, Vinny Sharp, Paul Foster, Tabitha Nauser","Singapore, United States",2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3246,TV Show,The Dragon Prince,not found,"Jack De Sena, Paula Burrows, Sasha Rojen, Jason Simpson, Racquel Belmonte, Jesse Inocalla, Luc Roderique, Jonathan Holmes, Adrian Petriw","United States, Canada",2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3247,TV Show,Trolls: The Beat Goes On!,not found,"Amanda Leighton, Skylar Astin, Ron Funches, David Fynn, David Koechner, David Kaye, Sean T. Krishnan, Sam Lerner, Patrick Pinney, Kevin Michael Richardson, Kari Wahlgren, Fryda Wolff",United States,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3248,Movie,The Knight Before Christmas,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Mimi Gianopulos, Ella Kenion, Jean-Michel Le Gal, Arnold Pinnock",United States,2019,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
3249,TV Show,Bangkok Buddies,not found,"Vayu Kessuvit, Ekapol Deebunmee, Nuttapong Boonyuen, Thanadol Auepongs, Martin Sidel, Nichaphat Chatchaipholrat, Narupornkamol Chaisang, Jidapa Siribunchawan, Hortnarong Teng, Everest Moe, Le Trung Hieu",Thailand,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3250,Movie,"Bikram: Yogi, Guru, Predator",Eva Orner,Bikram Choudhury,United States,2019,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
3251,Movie,Dorasaani,KVR Mahendra,"Anand Deverakonda, Shivatmika Rajasekhar, Kannada Kishore",India,2019,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3252,TV Show,Holiday Secrets,not found,"Corinna Harfouch, Christiane Paul, Svenja Jung, Leonie Benesch, Anita Vulesica, Barbara Nüsse, Hans-Uwe Bauer, Lorna zu Solms, Tilda Jenkins, Emilie Neumeister, Golo Euler, Dennis Herrmann, Maik Solbach, Merlin Rose",Germany,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3253,Movie,"Lorena, Light-Footed Woman",Juan Carlos Rulfo,Lorena Ramírez,Mexico,2019,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
3254,Movie,Mallesham,Raj R,"Jhansi, Priyadarshi Pullikonda, Ananya Nagalla",India,2019,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3255,TV Show,Who Killed Little Gregory?,not found,not found,France,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3256,Movie,Iliza Shlesinger: Unveiled,Steve Paley,Iliza Shlesinger,United States,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3257,TV Show,Miss Culinary,not found,"Wanida Termthanaporn, Jason Young, Thanawin Teeraphosukarn, Thanabordee Jaiyen, Chonnikan Netjui, Passaranan Ussadamongkol, Janya Thanasawangkun, Jaturong Mokjok, Panadda Wongphudee️️",not found,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3258,TV Show,Candy Online,not found,"Ruby Zhan, Suun Lin, Sunnie Wang, Dean Tang, Lain Lu, Cheng Ko, Jacqueline Zhu, Chen Wen-shan, Ada Pan",Taiwan,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3259,Movie,Iron Sky: The Coming Race,Timo Vuorensola,not found,"Finland, Germany, Belgium",2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
3260,Movie,Jeff Dunham: All Over the Map,Robb Dipple,Jeff Dunham,United States,2014,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3261,Movie,Suffragette,Sarah Gavron,"Carey Mulligan, Helena Bonham Carter, Brendan Gleeson, Anne-Marie Duff, Ben Whishaw, Romola Garai, Meryl Streep, Finbar Lynch, Natalie Press, Samuel West, Geoff Bell, Amanda Lawrence, Shelley Longworth","United Kingdom, France",2015,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3264,Movie,Earthquake Bird,Wash Westmoreland,"Alicia Vikander, Riley Keough, Naoki Kobayashi, Jack Huston, Kiki Sukezane, Yoshiko Sakuma, Ken Yamamura, Kazuhiro Muroyama, Akiko Iwase, Crystal Kay","United Kingdom, Japan, United States",2019,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
3265,Movie,El sendero de la anaconda,Alessandro Angulo,"Wade Davis, Martin von Hildebrand",Colombia,2019,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
3266,Movie,GO! The Unforgettable Party,Mauro Scandolari,"Pilar Pascual, José Gimenez Zapiola, Renata Toscano, Santiago Saez, Carmela Barsamian, Paulo Sánchez Lima, Daniel Rosado, Laura Azcurra, Gastón Ricaud, Florencia Benítez, Majo Cardozo",Argentina,2019,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
3267,Movie,Guna 369,Arjun Jandyala,"Adithya Menon, Kartikeya Gummakonda, Anagha LK",India,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
3268,Movie,House Arrest,"Shashanka Ghosh, Samit Basu","Ali Fazal, Shriya Pilgaonkar, Jim Sarbh, Barkha Singh, Badrul Islam, Sunil Kumar",India,2019,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
3269,TV Show,I'm with the Band: Nasty Cherry,not found,"Charli XCX, Emmie Lichtenberg, Gabbriette Bechtel, Chloe Chaidez, Deborah Knox- Hewson, Georgia Somary",United States,2019,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
3273,Movie,Klaus,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack","Spain, United Kingdom",2019,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
3275,TV Show,Llama Llama,not found,"Jennifer Garner, Shayle Simons, Vania Gill, Islie Hirvonen, Brendon Sunderland, Austin Abell, Evans Johnson, Kathleen Barr, David Hoole",United States,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3277,TV Show,My Sassy Girl,not found,"Joo Won, Oh Yeon-seo, Lee Jung-shin, Kim Yoon-hye, Sohn Chang-min, Yoon Se-a, Cho Hee-bong, Jung Woong-in, Lee Kyung-hwa",South Korea,2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3278,Movie,SunGanges,Valli Bindana,Naseeruddin Shah,"India, United States",2018,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
3279,TV Show,The Club,not found,"Alejandro Speitzer, Minnie West, Jorge Caballero, Ana González Bello, Axel Arenas, Arcelia Ramírez, Omar Germenos, Anna Ciocchetti, Aurora Gil, Martha Julia, Alejandro Puente, Estrella Solís, Martín Saracho, Sofía de Llaca, Marco Tostado",Mexico,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3281,TV Show,The Stranded,not found,"Papangkorn Lerkchaleampote, Chayanit Chansangavej, Chutavuth Pattarakampol, Kittisak Patomburana, Sinjai Plengpanich, Oabnithi Wiwattanawarang, Ticha Wongthipkanont, Chaleeda Gilbert, Chanya McClory",Thailand,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3282,TV Show,The Toys That Made Us,not found,not found,United States,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3283,TV Show,The Yard,not found,"Demet Evgar, Ceren Moray, Nursel Köse, Kenan Ece, Teoman Kumbaracıbaşı, Çağdaş Onur Öztürk, Deniz Barut, Onuryay Evrentan, Görkem Mertsöz, Mert Tanık, Ayça Damgacı",Turkey,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3285,Movie,Fadily Camara : La plus drôle de tes copines,Gautier & Leduc,Fadily Camara,France,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3286,TV Show,My Dear Warrior,not found,"Leo Putt, Pimchanok Luevisadpaibul, Suthada Jongjaiphar, Chatra Baude, Claudia Chakrapan, Oabnithi Wiwattanawarang, Varatta Vajrathon, Varot Makaduangkeo, Supasit Chinvinijkul",Thailand,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3287,TV Show,Maradona in Mexico,not found,Diego Armando Maradona,"Argentina, United States, Mexico",2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3288,TV Show,Chief of Staff,not found,"Lee Jung-jae, Shin Mina, Lee Elijah, Kim Dong-jun, Jung Jin-young, Kim Kap-soo, Jung Woong-in, Im Won-hee, Kim Hong-pa",South Korea,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3289,Movie,Jeff Garlin: Our Man In Chicago,Christopher Storer,Jeff Garlin,United States,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3291,TV Show,Put Your Head on My Shoulder,not found,"Fair Xing, Lin Yi, Daddi Tang, Yi Sha, Zhou Zixin, Zheng Yingchen, Cai Gang, Liang Aiqi, Rong Rong, He Qiang",China,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3292,Movie,To Be of Service,Josh Aronson,not found,United States,2019,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
3293,TV Show,Little Things,not found,"Dhruv Sehgal, Mithila Palkar",India,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3294,TV Show,Greatest Events of WWII in Colour,not found,not found,United Kingdom,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3295,TV Show,Green Eggs and Ham,not found,"Michael Douglas, Adam Devine, Keegan-Michael Key, Eddie Izzard, Jillian Bell, Ilana Glazer, Diane Keaton, Jeffrey Wright, John Turturro, Tracy Morgan, Daveed Diggs","United Kingdom, Canada, United States",2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3296,Movie,Let It Snow,Luke Snellin,"Isabela Moner, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack, Matthew Noszka, Anna Akana, Miles Robbins, D'Arcy Carden, Mason Gooding, Andrea De Oliveira, Victor Rivers",United States,2019,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
3297,Movie,Paradise Beach,Xavier Durringer,"Sami Bouajila, Tewfik Jallab, Mélanie Doutey, Hugo Becker, Kool Shen, Hubert Koundé, Seth Gueko, Sonia Couling, Chalad Na Songkhla, Flore Bonaventura, Nessbeal, Dorian N'Goumou dit Dosseh, Hache-P",France,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
3298,TV Show,Wild District,not found,"Juan Pablo Raba, Cristina Umaña, Camila Sodi, Christian Tappán, Juan Fernando Sánchez, Juan Sebastián Calero, Paula Castaño, Nicolás Quiroga, Alina Lozano, Carolina Acevedo, Julio César Pachón, Roberto Cano",Colombia,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
