,type,title,director,cast,country,release year,platform,animation,children & family,entertainment,documentary,thrillers,music & musicals,romance,comedy,drama,horror,sci-fi & fantasy,action & adventure
0,Movie,Dick Johnson Is Dead,Kirsten Johnson,not found,United States,2020,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
1,TV Show,Blood & Water,not found,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
2,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
3,TV Show,Jailbirds New Orleans,not found,not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
4,TV Show,Kota Factory,not found,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
5,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",not found,2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
6,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
8,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
9,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,2021,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
10,TV Show,"Vendetta: Truth, Lies and The Mafia",not found,not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
11,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
12,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic",2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
13,Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
14,TV Show,Crime Stories: India Detectives,not found,not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
15,TV Show,Dear White People,not found,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,2021,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
16,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",not found,not found,2020,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
17,TV Show,Falsa identidad,not found,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
18,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",not found,2021,Netflix,0,0,0,0,1,0,0,0,0,0,0,0
19,TV Show,Jaguar,not found,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
20,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
21,TV Show,Resurrection: Ertugrul,not found,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
23,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
25,TV Show,Love on the Spectrum,not found,Brooke Satchwell,Australia,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
30,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",not found,2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
31,TV Show,Chicago Party Aunt,not found,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",not found,2021,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
32,TV Show,Sex Education,not found,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
33,TV Show,Squid Game,not found,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
34,TV Show,Tayo and Little Wizards,not found,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",not found,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
35,Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",not found,2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
36,Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
37,TV Show,Angry Birds,not found,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,2018,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
38,Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States",2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
39,TV Show,Chhota Bheem,not found,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
40,TV Show,He-Man and the Masters of the Universe,not found,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
45,Movie,My Heroes Were Cowboys,Tyler Greco,not found,not found,2021,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
47,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",not found,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
49,TV Show,Castle and Castle,not found,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
50,TV Show,Dharmakshetra,not found,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,2014,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
55,TV Show,Nailed It,not found,"Nicole Byer, Jacques Torres",United States,2021,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
64,Movie,Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
65,TV Show,Numberblocks,not found,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",United Kingdom,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
66,TV Show,Raja Rasoi Aur Anya Kahaniyan,not found,not found,India,2014,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
68,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,not found,2021,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
69,TV Show,Stories by Rabindranath Tagore,not found,not found,India,2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
70,TV Show,Too Hot To Handle: Latino,not found,Itatí Cantoral,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
71,Movie,A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
72,TV Show,Jack Whitehall: Travels with My Father,not found,"Jack Whitehall, Michael Whitehall",United Kingdom,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
73,Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,2018,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
74,TV Show,The World's Most Amazing Vacation Rentals,not found,not found,not found,2021,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
75,Movie,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
77,Movie,Little Singham - Black Shadow,Prakash Satam,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
78,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",not found,2020,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
79,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",not found,2021,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
80,Movie,Firedrake the Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
81,Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
82,TV Show,Lucifer,not found,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
83,TV Show,Metal Shop Masters,not found,Jo Koy,not found,2021,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
84,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
85,TV Show,Pokémon Master Journeys: The Series,not found,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
86,Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
87,TV Show,Titipo Titipo,not found,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",not found,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
88,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",not found,2021,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
89,TV Show,Mighty Raju,not found,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",not found,2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
90,Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States",2019,Netflix,0,0,0,0,0,0,0,0,0,0,1,0
91,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",not found,France,2021,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
92,TV Show,Into the Night,not found,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",Belgium,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
93,Movie,JJ+E,Alexis Almström,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",not found,2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
94,Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States",2018,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
95,TV Show,The Circle,not found,Michelle Buteau,"United States, United Kingdom",2021,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
96,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,2018,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
97,TV Show,Kid Cosmic,not found,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",United States,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
98,TV Show,Octonauts: Above & Beyond,not found,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
99,TV Show,On the Verge,not found,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States",2021,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
100,TV Show,Tobot Galaxy Detectives,not found,"Austin Abell, Travis Turner, Cole Howard, Anna Cummer, Jesse Inocalla, Brian Dobson, Michael Adamthwaite, Joseph Girgis, Caitlyn Bairstow",not found,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
101,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",not found,United States,2021,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
102,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
103,Movie,Shadow Parties,Yemi Amodu,"Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas",not found,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
104,TV Show,Tayo the Little Bus,not found,"Robyn Slade, Kami Desilets",South Korea,2016,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
105,Movie,Angamaly Diaries,Lijo Jose Pellissery,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese",India,2017,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
106,TV Show,Bunk'd,not found,"Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu",United States,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
107,Movie,A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",United States,2018,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
108,TV Show,Dive Club,not found,"Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant",Australia,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
109,TV Show,La casa de papel,not found,"Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver",Spain,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
110,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",not found,not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
111,TV Show,Sharkdog,not found,"Liam Mitchell, Dee Bradley Baker, Grey Griffin, Josh McDermitt, Kari Wahlgren, Judy Alice Lee, Ali Mawji","United States, Singapore",2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
112,Movie,Worth,Sara Colangelo,"Michael Keaton, Stanley Tucci, Amy Ryan, Shunori Ramanathan, Ato Blankson-Wood, Tate Donovan, Laura Benanti, Chris Tardio",not found,2021,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
113,Movie,Afterlife of the Party,Stephen Herek,"Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland",not found,2021,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
116,Movie,Dhanak,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",India,2015,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
117,Movie,Final Account,Luke Holland,not found,"United Kingdom, United States",2021,Netflix,0,0,0,1,0,0,0,0,0,0,0,0
118,Movie,Gurgaon,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",India,2017,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
119,Movie,Here and There,JP Habac,"Janine Gutierrez, JC Santos, Victor Anastacio, Yesh Burce, Lotlot De Leon",not found,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
120,TV Show,Heroes of Goo Jit Zu,not found,"Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang",Australia,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
121,TV Show,Hotel Del Luna,not found,"Lee Ji-eun, Yeo Jin-goo, Shin Jung-geun, Seo Yi-sook, Bae Hae-sun, Pyo Ji-hoon, Cho Hyun-chul, Kang Hong-suk, Lee Do-hyun, Lee Tae-seon, Kang Mina, Park You-na, Oh Ji-ho",not found,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
125,TV Show,Q-Force,not found,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",United States,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
126,Movie,Shikara,Vidhu Vinod Chopra,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai",India,2020,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
128,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,"Glenn Close, Terence Stamp, Max Irons, Gillian Anderson, Christina Hendricks, Stefanie Martini, Julian Sands, Honor Kneafsey, Christian McKay, Amanda Abbington",not found,2017,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
130,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,"America Young, Amber May, Giselle Fernandez, Alejandro Saab, Dinora Walcott",not found,2021,Netflix,0,1,0,0,0,0,0,0,0,0,0,0
132,TV Show,Brave Animated Series,not found,"Tseng Yun-fan, Kao Yun-shuo, Chiang Ching-yen, Meng Ching-fu, Huang Bai-wei, Ma Kuo-yao, Chen Yen-chun, Sun Ke-fang, Kai Yang-niu, Chen Yu-wen, Nick Liao, Lin Kai-ling, Mickey Huang, Liu Kuan-ting, Jiang Du-hui",not found,2021,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
133,Movie,Chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States",2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
140,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,"Joaquín Furriel, Luis Ziembrowski, Guillermo Pfening, Mónica Lairana, Germán de Silva, Victoria Raposo, Andrea Garrote","Argentina, Venezuela",2014,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
141,Movie,Extraction,Steven C. Miller,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen","United States, United Kingdom, Canada",2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,1
147,TV Show,How to Be a Cowboy,not found,not found,not found,2021,Netflix,0,0,1,0,0,0,0,0,0,0,0,0
148,TV Show,HQ Barbers,Gerhard Mostert,"Hakeem Kae-Kazim, Chioma Omeruah, Orukotan Adejola, Flora Chiedo, Emeka Nwagbaraocha, Anthony Oseyemi, Oluwabukola Thomas, Soibifaa Dokubo",not found,2020,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
152,Movie,Janoskians: Untold and Untrue,Brett Weiner,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",United States,2016,Netflix,0,0,0,0,0,0,0,1,0,0,0,0
153,TV Show,Kid-E-Cats,not found,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,2016,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
154,TV Show,Kuroko's Basketball,not found,"Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya",Japan,2015,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
157,Movie,Level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira",Canada,2018,Netflix,0,0,0,0,0,0,0,0,0,0,1,0
162,Movie,Marshall,Reginald Hudlin,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss","United States, China, Hong Kong",2017,Netflix,0,0,0,0,0,0,0,0,1,0,0,0
165,TV Show,Oldsters,not found,"Patricio Contreras, Alejandro Goic, Sergio Hernández, Mariana Loyola Ruz, Alejandro Trejo, Daniel Alcaíno Cuevas, Nicolás Poblete, Susana Hidalgo, Gloria Münchmeyer",not found,2019,Netflix,0,0,0,0,0,0,0,0,0,0,0,0
